,train_loss,train_perplexity,val_loss,val_perplexity
0,8.057004921209245,3155.8240239587476,5.813529501570032,334.798715359702
1,4.057715662462371,57.842029329549,2.2109583387983607,9.124456525069501
2,2.0220700450596354,7.5539457682864946,1.4752167412575254,4.371983259395867
3,1.5169979253695125,4.558519616756934,1.199055071206803,3.316981130443014
4,1.2569378649904615,3.5146426823061483,1.036387839849959,2.8190158645816363
5,1.0744047062028022,2.9282492129888635,0.9431203204266568,2.56798185611418
6,0.936575786059811,2.5512304853539103,0.8396503208799565,2.3155571332158975
7,0.8238512092048214,2.2792608668561507,0.7737565826862416,2.1678948526178603
8,0.7221819838597661,2.058920844942796,0.7054722359839906,2.024802643854386
9,0.6330727512637774,1.8833888826426988,0.6475765828756576,1.9109042949636719
10,0.5478026595676229,1.7294486522056591,0.5996955920090067,1.8215642172811786
11,0.47271527539761293,1.6043445215835064,0.553367277092122,1.7390991983802344
12,0.40954914366205536,1.5061385798878033,0.5161775570917637,1.675610467507606
13,0.35451437751097337,1.4254882370226505,0.48219383349444006,1.6196236921980458
14,0.3129202233361346,1.3674124390736497,0.4583188038557134,1.5814130832942193
15,0.27722282164863177,1.3194603426109717,0.43940721848543657,1.551787075123613
16,0.2530979962753398,1.28800949078298,0.42720986791747684,1.5329743501012043
17,0.23401397630749715,1.2636621534151868,0.42064240448018336,1.5229395846521119
18,0.22344699969426507,1.2503793680314654,0.41850567006684364,1.5196889413496237
19,0.21837934809071677,1.2440589094893013,0.41787210312929557,1.5187264216235616
